STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
15750,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE15750.00,5218,1605,44.422917243288126,19530,62.34,0.55,-0.3999999999999999,-42.105263157894726,248600,111300,12400,0.55,1200,0.6,17929.65
15800,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE15800.00,30,29,2900.0,35,114.97,2181.0,221.04999999999995,11.278348937472892,7850,6100,50,2161.4,500,2266.8,17929.65
15800,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE15800.00,5343,233,4.559686888454012,7844,62.4,0.7,-0.6000000000000001,-46.15384615384615,266550,30300,850,0.7,1000,0.8,17929.65
15850,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE15850.00,0,0,0.0,0,0.0,0.0,0.0,0.0,6900,6900,550,2032.05,500,2196.6,17929.65
15850,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE15850.00,69,3,4.545454545454546,1949,60.99,0.7,-0.6500000000000001,-48.14814814814816,65400,5550,1800,0.65,50,1.1,17929.65
15900,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE15900.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8600,5000,500,1983.1,450,2175.75,17929.65
15900,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE15900.00,5064,-764,-13.109128345916266,13556,59.15,0.65,-0.7499999999999999,-53.57142857142857,224650,17300,2550,0.65,300,0.7,17929.65
15950,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE15950.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8550,8550,500,1925.35,500,2123.25,17929.65
15950,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE15950.00,0,0,0.0,0,0.0,0.0,0.0,0.0,17000,300,1500,0.75,300,1.7,17929.65
16000,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16000.00,89,0,0.0,19,0.0,1839.9,111.25,6.435657883319353,12150,7700,50,1961.9,450,1999.7,17929.65
